sno,name,rating,price,num_reviews,Description,ASIN,Manufacturer,url
21,HP 240 Bluetooth Wireless,4.2,848,862,,B09KBJK9LK,‎HP Inc.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfYnRmOjIwMDc5NTk0NzE3Njk4OjowOjo&url=%2FHP-240-Bluetooth-Tracking-Compatible%2Fdp%2FB09KBJK9LK%2Fref%3Dsr_1_21_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
22,ZEBRONICS Haze Wireless,3.3,227,700,,B0BW4KN4FM,‎Zebronics India Private Limited,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjQ3MjQwNTcxMTY1MjAwOjE2OTEyNzMwODI6c3BfYnRmOjMwMDAxNjE5NjkzNTEzMjo6MDo6&url=%2FZEBRONICS-Wireless-Computers-Advanced-Receiver%2Fdp%2FB0BW4KN4FM%2Fref%3Dsr_1_22_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273082%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
23,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",4.3,249,"58,260","HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty",B009VCGPSY,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTg3NTc2NTY2NzM0MDEyOjE2OTEyNzMxNTM6c3BfYXRmX25leHQ6MjAwNDYzMTQ0NTA2OTg6OjA6Og&url=%2FHP-X1000-Wired-Mouse-Black%2Fdp%2FB009VCGPSY%2Fref%3Dsr_1_17_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273153%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
24,"HP 150 Wireless Mouse,1600 DPI, 10 m Range, 2.4 GHz USB dongle for Instant connectivity, Ambidextrous, Ergonomic Design, Rubber Grip for All Day Comfort, 12 Month Battery, 3 Years Warranty",4.0,448,"5,772",,B09GB5B4BK,‎HP Inc.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTg3NTc2NTY2NzM0MDEyOjE2OTEyNzMxNTM6c3BfYXRmX25leHQ6MjAwNDYzMTQ0NTA3OTg6OjA6Og&url=%2FHP-150-Ambidextrous-Wireless-Mouse%2Fdp%2FB09GB5B4BK%2Fref%3Dsr_1_18_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273153%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
25,"Ant Esports GM40 Wired Optical Gaming Mouse with RGB LED, Lightweight and Ergonomic Design, DPI Upto 2400, Compatible with Windows and Mac",4.0,169,"1,484",,B0BBQV5JWJ,‎Ant Esports,https://www.amazon.in/Ant-Esports-Lightweight-Ergonomic-Compatible/dp/B0BBQV5JWJ/ref=sr_1_19?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-19
26,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.",4.3,349,"8,686",,B08372ZPVS,‎Imagine Marketing Ltd,https://www.amazon.in/Redgear-Gaming-Mouse-Upto-2400/dp/B08372ZPVS/ref=sr_1_20?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-20
27,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",3.8,97,"4,346",,B079Y6JZC8,‎Zebronics,https://www.amazon.in/Zebronics-Wired-Optical-Mouse-Black/dp/B079Y6JZC8/ref=sr_1_21?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-21
28,"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(Pink)",4.1,290,"5,560",,B0BZHM6VNQ,‎Portronics,https://www.amazon.in/Portronics-Wireless-Optical-Orientation-Adjustable/dp/B0BZHM6VNQ/ref=sr_1_22?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-22
29,Ant Esports GM320 RGB Optical Wired Gaming Mouse | 8 Programmable Buttons | 12800 DPI I Ergonomic Design with Braided Cable - Black,4.4,548,"2,855",,B08D64C9FN,‎Ant Esports,https://www.amazon.in/Ant-Esports-GM320-Programmable-Comfortable/dp/B08D64C9FN/ref=sr_1_23?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-23
30,"Dell WM118 Wireless Mouse, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, Pc/Mac/Laptop - Black.",4.3,596,"11,056",,B07JPX9CR7,‎Dell,https://www.amazon.in/DELL-WM118-Wireless-Optical-Mouse/dp/B07JPX9CR7/ref=sr_1_24?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-24
31,"Amazon Basics Wired Mouse, 1000 DPI Optical Sensor Tracking, Standard Control 3-Button & 1 Scroller | USB 2.0 Mice Compatible for PC/Mac/Laptop/Tablet (Black)",4.1,149,361,,B09SN346HF,‎Shenzhen Iragile Electronics Co.,https://www.amazon.in/Tracking-Standard-3-Button-Scroller-Compatible/dp/B09SN346HF/ref=sr_1_25?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-25
32,"AmazonBasics Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, for PC/Mac/Laptop/Tablet (Black)",3.6,239,"44,326",,B09SMYXXM2,‎Shenzhen Iragile Electronics Co.,https://www.amazon.in/Amazon-Wireless-Receiver-Optical-Tracking/dp/B09SMYXXM2/ref=sr_1_26?crid=39QCIRY4VLJHD&keywords=mouse&qid=1691273153&sprefix=mouse%2Caps%2C208&sr=8-26
33,"HP X200 Wireless Mouse with 2.4 GHz Wireless connectivity, Adjustable DPI up to 1600, ambidextrous Design, and 18-Month Long Battery Life. 3-Years Warranty (6VY95AA)",4.1,698,"9,769",,B083RCTXLL,‎HP,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTg3NTc2NTY2NzM0MDEyOjE2OTEyNzMxNTM6c3BfbXRmOjIwMDQ2MzE0NDUwODk4OjowOjo&url=%2FHP-Wireless-Mouse-X200-6VY95AA%2Fdp%2FB083RCTXLL%2Fref%3Dsr_1_27_sspa%3Fcrid%3D39QCIRY4VLJHD%26keywords%3Dmouse%26qid%3D1691273153%26sprefix%3Dmouse%252Caps%252C208%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
